Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
247,EE1 Registered User (Browser) Process Memory Tampered,Tampering,Diagram 1,Account-Related AI Question,High,Not Started,,"If EE1 Registered User (Browser) is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then EE1 Registered User (Browser) can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
246,Potential Lack of Input Validation for P1 Web Frontend Interface,Tampering,Diagram 1,Account-Related AI Question,High,Not Started,,Data flowing across Account-Related AI Question may be tampered with by an attacker. This may lead to a denial of service attack against P1 Web Frontend Interface or an elevation of privilege attack against P1 Web Frontend Interface or an information disclosure by P1 Web Frontend Interface. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
245,Spoofing the P1 Web Frontend Interface Process,Spoofing,Diagram 1,Account-Related AI Question,High,Not Started,,P1 Web Frontend Interface may be spoofed by an attacker and this may lead to information disclosure by EE1 Registered User (Browser). Consider using a standard authentication mechanism to identify the destination process.,,Generated
244,Spoofing the EE1 Registered User (Browser) Process,Spoofing,Diagram 1,Account-Related AI Question,High,Not Started,,EE1 Registered User (Browser) may be spoofed by an attacker and this may lead to unauthorized access to P1 Web Frontend Interface. Consider using a standard authentication mechanism to identify the source process.,,Generated
258,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,AI Question,High,Not Started,,P5 AI Account Support Assistant may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
257,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,AI Question,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what P5 AI Account Support Assistant executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with P5 AI Account Support Assistant. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
261,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,AI Support Response,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of P5 AI Account Support Assistant in order to gain additional privilege.,,Generated
260,Cross Site Scripting,Tampering,Diagram 1,AI Support Response,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
259,P5 AI Account Support Assistant Process Memory Tampered,Tampering,Diagram 1,AI Support Response,High,Not Started,,"If P5 AI Account Support Assistant is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then P5 AI Account Support Assistant can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
272,Elevation by Changing the Execution Flow in EE1 Registered User (Browser),Elevation Of Privilege,Diagram 1,AI Response,High,Not Started,,An attacker may pass data into EE1 Registered User (Browser) in order to change the flow of program execution within EE1 Registered User (Browser) to the attacker's choosing.,,Generated
271,EE1 Registered User (Browser) May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,AI Response,High,Not Started,,P1 Web Frontend Interface may be able to remotely execute code for EE1 Registered User (Browser).,,Generated
270,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,AI Response,High,Not Started,,EE1 Registered User (Browser) may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
269,Data Flow AI Response Is Potentially Interrupted,Denial Of Service,Diagram 1,AI Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
268,Potential Process Crash or Stop for EE1 Registered User (Browser),Denial Of Service,Diagram 1,AI Response,High,Not Started,,"EE1 Registered User (Browser) crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
267,Data Flow Sniffing,Information Disclosure,Diagram 1,AI Response,High,Not Started,,"Data flowing across AI Response may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
266,Potential Data Repudiation by EE1 Registered User (Browser),Repudiation,Diagram 1,AI Response,High,Not Started,,"EE1 Registered User (Browser) claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
265,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,AI Response,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what EE1 Registered User (Browser) executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with EE1 Registered User (Browser). Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
264,Potential Lack of Input Validation for EE1 Registered User (Browser),Tampering,Diagram 1,AI Response,High,Not Started,,Data flowing across AI Response may be tampered with by an attacker. This may lead to a denial of service attack against EE1 Registered User (Browser) or an elevation of privilege attack against EE1 Registered User (Browser) or an information disclosure by EE1 Registered User (Browser). Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
263,Spoofing the EE1 Registered User (Browser) Process,Spoofing,Diagram 1,AI Response,High,Not Started,,EE1 Registered User (Browser) may be spoofed by an attacker and this may lead to information disclosure by P1 Web Frontend Interface. Consider using a standard authentication mechanism to identify the destination process.,,Generated
262,Spoofing the P1 Web Frontend Interface Process,Spoofing,Diagram 1,AI Response,High,Not Started,,P1 Web Frontend Interface may be spoofed by an attacker and this may lead to unauthorized access to EE1 Registered User (Browser). Consider using a standard authentication mechanism to identify the source process.,,Generated
