id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
92,SF4: Approved Context Data,Data Flow,Tampering,Tampering with retrieved knowledge base articles in transit to inject indirect prompt injection payloads.,Use signed and encrypted internal communication channels (mTLS) for context delivery.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
93,SF4: Approved Context Data,Data Flow,Information Disclosure,Exposure of confidential internal knowledge base articles in transit crossing internal trust boundaries.,Ensure context repository documents are encrypted during transfer and enforce document-level classification checks.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
94,SF4: Approved Context Data,Data Flow,Denial of Service,Retrieval data transmission drops or huge payload transfers consuming excessive inter-service bandwidth.,Enforce chunk size limits on retrieved context and implement compression (gzip/brotli).,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
95,DF13: Prompt and Context Data,Data Flow,Tampering,Man-in-the-middle tampering with prompt and context data crossing TB2 boundary to the External LLM Provider.,Enforce strict TLS 1.3 encryption with certificate pinning on external LLM provider API connections.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
96,DF13: Prompt and Context Data,Data Flow,Information Disclosure,"Transmission of sensitive application credentials, session tokens, or confidential user PII to the third-party LLM provider.","Enforce strict egress data filters: strip all authentication secrets, tokens, and PII prior to constructing outbound prompts.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
97,DF13: Prompt and Context Data,Data Flow,Denial of Service,Exhaustion of outbound API connection pool or third-party rate limits preventing transmission of prompt data.,"Implement rate limiting, backoff retries, and fallback informational messages when provider is unavailable.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
98,DF14: Generated Response,Data Flow,Tampering,MITM tampering or provider compromise injecting malicious instructions into generated response from external LLM.,"Validate response schema, treat all LLM output as untrusted external data, and perform response safety checks.",Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
99,DF14: Generated Response,Data Flow,Information Disclosure,External LLM generated response leaks model training artifacts or sensitive regurgitated contextual data in transit.,Filter generated output using DLP patterns and automated toxicity/leakage classifiers before returning to client.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
100,DF14: Generated Response,Data Flow,Denial of Service,External LLM stream stalls or returns extremely slow token generation hanging application threads.,"Set strict HTTP response timeouts, stream token limits, and fallback cancellation hooks.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
101,DF15: Processed Response,Data Flow,Tampering,Tampering with sanitized response payload between LLM Integration Service and AI Chatbot.,Authenticate and integrity-protect internal response communication using mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
102,DF15: Processed Response,Data Flow,Information Disclosure,Sniffing internal processed response disclosing internal safety filter scores and metadata.,Encrypt inter-service traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
103,DF15: Processed Response,Data Flow,Denial of Service,Internal communication failure delaying delivery of processed response to chatbot component.,Configure asynchronous messaging with health checks and timeout fallbacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
104,DF16: Chatbot Answer,Data Flow,Tampering,Injection of cross-site scripting (XSS) payloads or malicious Markdown/HTML in chatbot answer delivered to user browser.,Sanitize and escape all Markdown and HTML tags before rendering chatbot responses in the Web Frontend.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
105,DF16: Chatbot Answer,Data Flow,Information Disclosure,Eavesdropping on chatbot answer in transit exposing assistance responses over insecure network.,Mandate HTTPS/TLS 1.3 for all client-facing response delivery.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
106,DF16: Chatbot Answer,Data Flow,Denial of Service,Large answer payload flooding user browser rendering engine or network disconnection leaving UI in loading state.,Implement maximum response length caps and UI rendering timeouts with cancellation buttons.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
