id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
102,DF20: Support Prompt + Approved Context,Data Flow,Denial of Service,Flooding P5 prompt queue with massive prompt payloads.,Enforce bounded queue sizes and prompt token limits.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
103,DF21: Outbound Prompt Request,Data Flow,Tampering,MITM tampering with prompt and context data crossing Zone D to External LLM Provider.,Enforce strict TLS 1.3 encryption with certificate pinning on external LLM connections.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
104,DF21: Outbound Prompt Request,Data Flow,Information Disclosure,"Transmission of sensitive application credentials, tokens, or confidential user PII to external LLM provider.","Enforce strict data minimization: strip all secrets, tokens, and PII prior to outbound transmission.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
105,DF21: Outbound Prompt Request,Data Flow,Denial of Service,Exhaustion of outbound API connection pool or third-party rate limits preventing transmission.,"Implement rate limiting, backoff retries, and fallback messages when provider is unavailable.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
106,DF22: Generated LLM Response,Data Flow,Tampering,MITM tampering or provider compromise injecting malicious instructions into generated response.,"Validate response schema, treat LLM output as untrusted external data, and run safety checks.",Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
107,DF22: Generated LLM Response,Data Flow,Information Disclosure,External LLM generated response leaks model training artifacts or sensitive regurgitated data.,Filter generated output using DLP patterns and automated toxicity/leakage classifiers.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
108,DF22: Generated LLM Response,Data Flow,Denial of Service,External LLM stream stalls or returns extremely slow token generation hanging service threads.,"Set strict HTTP response timeouts, stream token limits, and fallback cancellation hooks.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
109,DF23: Processed Support Response,Data Flow,Tampering,Tampering with sanitized response payload between P5 and P4.,Authenticate and integrity-protect internal response communication using mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
110,DF23: Processed Support Response,Data Flow,Information Disclosure,Sniffing internal processed response disclosing internal safety filter scores and metadata.,Encrypt inter-service traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
111,DF23: Processed Support Response,Data Flow,Denial of Service,Internal communication failure delaying delivery of processed response to P4.,Configure asynchronous messaging with health checks and timeout fallbacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
112,DF24: Generated AI Answer,Data Flow,Tampering,Tampering with generated answer stream between P4 and P1.,Enforce mTLS and validate payload integrity.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
113,DF24: Generated AI Answer,Data Flow,Information Disclosure,Sniffing generated answer payload between P4 and P1.,Encrypt internal traffic using TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
114,DF24: Generated AI Answer,Data Flow,Denial of Service,Transmission failure between P4 and P1 delaying answer delivery.,Implement client retry mechanisms with fast failure alerts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
115,DF25: Support Answer Display,Data Flow,Tampering,Injection of XSS payloads or malicious Markdown/HTML in support answer rendered in user browser.,Sanitize and escape all Markdown and HTML tags before rendering support answer in frontend.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
116,DF25: Support Answer Display,Data Flow,Information Disclosure,Eavesdropping on support answer in transit exposing assistance responses over insecure network.,Mandate HTTPS/TLS 1.3 for all client-facing response delivery.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
117,DF25: Support Answer Display,Data Flow,Denial of Service,Large answer payload flooding browser DOM rendering engine leaving UI in loading state.,Implement maximum response length caps and UI rendering timeouts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
118,DS3: Profile Audit / Recovery History Archive,Data Store,Tampering,Direct tampering with archived recovery logs in DS3 alters historical audit records.,Enforce immutable append-only WORM storage policies and database integrity triggers.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
119,DS3: Profile Audit / Recovery History Archive,Data Store,Repudiation,Deletion of recovery history records in DS3 obscures unauthorized account takeover events.,Enable cryptographic signature chaining and cloud write-once retention on historical records.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
120,DS3: Profile Audit / Recovery History Archive,Data Store,Information Disclosure,Unauthorized database read on DS3 exposes historical profile changes and past contact emails.,Enforce AES-256 encryption at rest and strict role-based access control.,Implementation,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,4.9
121,DS3: Profile Audit / Recovery History Archive,Data Store,Denial of Service,Storage volume saturation on DS3 preventing ingestion of new recovery audit trails.,Implement storage lifecycle archival and automated capacity scaling alerts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,4.9
122,DF26: Outbound Notification Dispatch,Data Flow,Tampering,MITM tampering with outbound SMS/Email notification payloads alters security alert contents.,Enforce TLS encryption and sign dispatch requests with API secrets.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
123,DF26: Outbound Notification Dispatch,Data Flow,Information Disclosure,Eavesdropping on notification dispatch flow intercepts one-time recovery codes and contact details.,Encrypt notification delivery channels using TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9
124,DF26: Outbound Notification Dispatch,Data Flow,Denial of Service,Notification delivery provider queue congestion dropping security alert dispatches.,Deploy multi-provider failover and asynchronous dispatch queues.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
125,DF27: Historical Log Ingestion,Data Flow,Tampering,Tampering with audit log event stream between P3 and DS3 to suppress profile mutation logs.,Use authenticated mTLS transport and message integrity checksums.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
126,DF27: Historical Log Ingestion,Data Flow,Information Disclosure,Sniffing historical audit log stream exposing user profile update diffs on internal network.,Encrypt log transport links with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
127,DF27: Historical Log Ingestion,Data Flow,Denial of Service,Network packet drops during audit stream ingestion causing audit telemetry loss.,Configure persistent local spooling with reliable retry delivery.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
