Reference_Threat_ID,Threat_Name,Primary_STRIDE_Category,Threat_Type,Affected_Components,Affected_Data_Flows,Trust_Boundary,Affected_Asset_Security_Property,Attack_Mechanism,Concrete_Attack_Scenario,Security_Impact,Architectural_Evidence,Expert_Justification,Severity,Likelihood,LLM_Specific,Confidence,Include_in_Final_Baseline
S1-RT-024,Sensitive information disclosure to the external LLM provider,Information Disclosure,Data Security,P4 AI Chatbot Component (prompt assembly); P5 LLM Integration Service (egress); EE2 External LLM Provider,"SF2, DF8, DF9, DF12",TB2; TB3,"User prompts; LLM context; account identifiers; prohibited material (passwords, password hashes, session tokens, secrets)","Prompt assembly at P4 sends more than the sanitised prompt the specification permits: design-time over-inclusion of identifiers or account state, unscoped retrieval on SF2 pulling internal material from DS3, user-pasted credentials on DF7 forwarded verbatim, and prohibited material such as session tokens carried into the prompt through the validation and context paths.","A user pastes their password into the chat while asking for help, or a session token presented towards validation is captured into context at P4 and attached to the next prompt; the material crosses TB2 on DF9 to EE2, leaves the application's security control, and cannot be retracted.","Irreversible disclosure of context, personal data and prohibited material to a third party whose handling practices are outside the organisation's audit scope, directly violating the specification's egress prohibition.","TB2 exists precisely because prompts and contextual information leave the application's security control, and the specification states that only sanitised prompts and authorisation-approved context may be sent to EE2, explicitly prohibiting passwords, password hashes, session tokens and secrets; this entry tests exactly that stated property, and no minimisation or allow-listing element is drawn between context assembly and DF9.","Final audit: retained, including the first-pass extension: the egress of explicitly prohibited material, in particular session tokens and password hashes carried through the validation and context paths, is an explicit part of the mechanism because the specification names these prohibitions and no other entry tests them. The SF2 scope-control failure remains folded here (same asset, same boundary, same mitigation). Primary STRIDE is Information Disclosure. It is the only confidentiality loss in the model with no application-side remedy after the fact.",High,High,Yes,High,YES
S1-RT-025,System prompt and instruction extraction,Information Disclosure,LLM-Specific,P4 AI Chatbot Component; EE2 External LLM Provider,"DF7, DF8, DF10, DF12",TB1; TB2,System instructions; guardrail configuration,"Iterative elicitation causes the instruction preamble that travels with every prompt to be reproduced in responses: verbatim repetition requests, configuration summaries, and translation or rephrasing variants.","Over several turns the attacker requests verbatim repetition of preceding text and rephrasing variants until the guardrail preamble appears in a DF10 response and reaches the user on DF12, revealing the assistant's instructions and any configuration embedded in them.","Reveals the guardrail logic and therefore the means to bypass it, enabling more reliable exploitation of S1-RT-022, and may expose internal procedures, model details or business rules embedded in the preamble.","The extraction request enters P4 on DF7 across TB1, is incorporated into the prompt that crosses TB2 on DF9, and the disclosed instruction text returns on DF10 and DF12; extraction requires conversation only, no component compromise. MITRE ATLAS catalogues this technique as AML.T0056 (LLM Meta Prompt Extraction).","Final audit: retained. Retained separately from S1-RT-022 because the asset and the mitigation differ: the countermeasure is to treat the prompt as public, remove sensitive material from it and enforce controls outside the model, rather than to filter input; retaining it separately also prevents a candidate model that states only prompt injection from being credited with this distinct outcome. Primary STRIDE is Information Disclosure. Severity Medium: informational loss that primarily enables other entries. No implementation assumption is involved.",Medium,High,Yes,High,YES
S1-RT-026,Disclosure of knowledge-base and context content through the assistant,Information Disclosure,LLM-Specific,P4 AI Chatbot Component; DS3 Knowledge Base and Context Repository; EE2 External LLM Provider,"SF2, DF8, DF9, DF10, DF12",TB3; TB2; TB1,Approved documentation corpus; chatbot context information; generated responses,"Incremental targeted interrogation causes the model to reproduce and aggregate retrieved context in its answers; no element compares the retrieved context against the entitlement of the requesting identity, since SF2 is modelled as retrieval for relevance, not as an authorisation decision.","An attacker asks many narrow questions about internal procedure names, policy details, naming conventions, support contacts and administrative workflows; the assistant retrieves approved documentation on SF2 for each and assembles, over many turns, a curated internal reconnaissance dossier delivered on DF12.","A curated internal reconnaissance dossier obtained through the trusted interface, materially raising the yield of S1-RT-003 and targeted attacks, and disclosure of context material beyond the entitlement of the asking user.","Content crosses TB3 outbound on SF2 into the prompt and returns to the user across TB1 on DF12, and between those crossings no element performs an entitlement check; every component behaves as designed, and the disclosure arises because unbounded interrogation of the assistant is itself an authorised action whose aggregate exceeds any single intended disclosure.","Final audit: retained. The distinctness analysis is confirmed: S1-RT-024 concerns egress towards EE2, S1-RT-025 concerns the model's hidden instructions, S1-RT-012 concerns a concurrency defect, and this entry concerns authorised aggregate disclosure, so no merge is warranted. Severity Medium stands: DS3 is defined as approved documentation, which bounds corpus sensitivity. Primary STRIDE is Information Disclosure.",Medium,Medium,Yes,High,YES
S1-RT-027,Conditional provider-side exposure of submitted prompts,Information Disclosure,Data Security,EE2 External LLM Provider,"DF9, DF10, DF12",TB2,User prompts; LLM context,"Conditional provider-side risk: if the external provider retains, logs or reuses the content submitted on DF9, retention practices being outside the application's control and not specified by the architecture, then a later provider-side exposure event affects the entire history of submitted prompts and context.","If DF9 content is retained provider-side and is later exposed through a provider-side event, the authentication-related questions of the user population, together with any over-included context from S1-RT-024, become known to the attacker; no application-side action can retract or bound the exposure.","Long-tail confidentiality loss across the history of DF9 traffic, loss of control over deletion, and the possibility that content submitted by one user surfaces in a response returned to another user.","EE2 is drawn as an entity beyond TB2, outside the application's security control, specifically to force reasoning about what happens after successful delivery; the architecture specifies no retention practices, so the provider-side behaviour is stated conditionally and the entry records the consequence if that condition holds.","Final audit: retained with conditional phrasing throughout, exactly as rule 7 requires for provider-side behaviour: the entry states the conditional exposure rather than asserting that the provider retains prompts. The cross-user surfacing case stays folded as a realisation of the same conditional exposure. Severity remains High because the triggering egress on DF9 is structural and the consequence is irreversible, while Likelihood is Medium because realisation requires both the unspecified retention behaviour and a secondary provider-side event. Primary STRIDE is Information Disclosure.",High,Medium,Yes,High,YES
S1-RT-028,Denial of service against the authentication service,Denial of Service,Availability,P2 Authentication Service; DS1 User Database,"DF1, DF2, DF3",TB1; TB3,Authentication availability,"Volumetric flooding of the login and registration functions on DF1 and DF2 saturates P2's processing and its access to DS1; verification against salted password hashes is a deliberate computation, so each flooded request imposes asymmetric work on the service.","An attacker floods DF1 with login attempts from distributed sources; every attempt triggers a DF3 verification computation and store access at P2; capacity saturates and legitimate users cannot authenticate, which is a full-system outage because every other capability depends on holding a session.","Legitimate users cannot authenticate; because every other capability depends on holding a session, an authentication outage is effectively a full-system outage.","The threat is located on the DF1 to DF2 to DF3 request path read as a resource path across TB1 and TB3; no rate-limiting, queueing or load-isolation element is specified on any of these flows, and salted hash verification is by construction a deliberate computation at P2, which the architecture itself specifies.","Final audit: retained with a technology-neutral rewrite: capacity terminology was generalised and the cost-asymmetry argument now rests only on the specified salted-hash verification rather than on any assumed hashing technology. Primary STRIDE is Denial of Service. Severity Medium, Likelihood Medium: launching the attempt is trivial, sustained impact depends on capacity handling that the architecture does not specify.",Medium,Medium,No,High,YES
S1-RT-029,External LLM provider unavailability or degradation,Denial of Service,Availability,P5 LLM Integration Service; P4 AI Chatbot Component; EE2 External LLM Provider,"DF9, DF10",TB2,Chatbot availability,"Provider outage, rate-limit rejection or degraded latency on the synchronous DF9/DF10 pair leaves the chatbot unable to answer; how P5 handles provider non-response is not specified by the architecture, so waiting behaviour and its capacity consequences are implementation-dependent.","The external provider suffers an extended outage; the DF10 responses never arrive, and the chatbot returns errors or nothing to every user. Whether the failure propagates further depends on runtime topology, which the drawn architecture does not establish.",Loss of the chatbot capability. Propagation of the outage into the authentication path through shared request-handling capacity is possible in some deployments but is not established by the drawn architecture and is therefore recorded as conditional.,"TB2 marks a dependency that the organisation can neither control nor repair, and DF9 and DF10 form a synchronous request-response pair across it; the drawn architecture establishes the direct consequence, chatbot loss, but contains no evidence about shared runtime capacity between the chatbot pipeline and the authentication path.","Final audit: retained with conditional scoping. The first-pass claim that the outage propagates into authentication rested on a runtime assumption the architecture does not make; under rule 1 it is removed from the impact and recorded as a conditional clarification. The baseline keeps the direct, drawn consequence. AI-specific because the dependency exists solely to obtain generated responses from an external model. Primary STRIDE is Denial of Service.",Medium,Medium,Yes,High,YES
S1-RT-030,Unbounded consumption of the LLM processing pipeline,Denial of Service,Availability,P4 AI Chatbot Component; P5 LLM Integration Service; EE2 External LLM Provider,"DF7, DF8, DF9",TB1; TB2,Chatbot availability; provider quota; operating budget,"High-frequency questions, inputs sized to fill the model context window, or prompts constructed to maximise generated output length drive the variable per-token cost of DF9; no metering, quota or cost control is specified on the DF7 to DF9 chain, and the path may be driven anonymously where S1-RT-011 applies.","A script submits maximum-length questions crafted to elicit maximum-length answers at line rate on DF7; the cost of each DF9 crossing scales with input and output tokens; the provider quota and budget exhaust, denying the chatbot to legitimate users through billing rather than through capacity.","Degraded or unavailable chatbot, processing backlog in P4 and P5, direct chargeable cost, and exhaustion of the provider quota, which then denies service through billing rather than through capacity.","DF7 crosses TB1 into P4 with no stated size or rate constraint, and the DF9 crossing of TB2 has a cost that is variable and attacker-influenced because it scales with token counts; request-count limiting alone is structurally insufficient and token-budget limiting is required, which no element provides.","Final audit: retained. Capacity exhaustion and chargeable-cost exhaustion remain combined in one entry because they share the DF7-to-DF9 attack path and the same control class, and the distinction is one of impact type rather than of mechanism, so splitting them would violate rule 4. AI-specific because the cost driver is per-token model inference, with no analogue in the classical flows. Primary STRIDE is Denial of Service. Likelihood High: no metering is drawn and the entry point is trivially reachable.",Medium,High,Yes,High,YES
S1-RT-032,Hallucinated authentication guidance,Tampering,LLM-Specific,EE2 External LLM Provider; P4 AI Chatbot Component,"DF10, DF11, DF12",TB2; TB1,Generated responses; user security behaviour,"Without any adversary, the model produces confident but incorrect content; the response crosses TB2 on DF10, passes through P5 and P4 with no element responsible for verifying factual accuracy, and is displayed on DF12 inside the trusted application interface.","A user asks how to regain access after a lockout; the model confidently describes a non-existent procedure or fabricated contact destination; the user, unable to verify the guidance elsewhere, follows it and discloses authentication information through the incorrect channel or to a destination an attacker may subsequently register.","Users are guided towards insecure behaviour, including disclosing authentication information through an incorrect channel or acting on a fabricated destination.","No adversary or boundary violation is required: every component behaves as engineered, yet the security outcome is negative; the content originates at EE2, crosses TB2 inbound on DF10, and crosses TB1 to the user on DF12 without any accuracy-control element, which the architecture does not specify.","Final audit: retained. This is the one threat class in the model with no classical STRIDE analogue, and the primary STRIDE field carries the single label Tampering under an explicitly extended interpretation, loss of integrity of generated information, with that rationale stated here as the single-category rule requires. The user-trust amplification folded into this entry in the first pass remains: users cannot easily verify guidance they depend on. Severity Medium: unintentional, not reliably targetable, correctable through verification against authoritative documentation. Likelihood High: intrinsic model behaviour.",Medium,High,Yes,High,YES
S1-RT-033,Insecure handling of generated output,Tampering,LLM-Specific,P4 AI Chatbot Component; P1 Web Frontend,"DF10, DF11, DF12",TB2; TB1,Generated responses; session tokens; user browser context,"Content that crossed TB2 inbound on DF10 is displayed by P1 on DF12; output encoding or content separation at the rendering step is not specified by the architecture, so attacker-influenced active content executes in the victim's authenticated client context.","Through S1-RT-022 or S1-RT-023 the attacker induces the model to emit active content in its answer; P1 displays the response without separation; the content executes in the victim's authenticated session, reads the session token as described in S1-RT-014, and completes a full account takeover.","Execution of attacker-influenced content in the victim's authenticated client context, leading to theft of the session token, actions performed on the victim's behalf, or presentation of a fabricated credential-harvesting form inside the legitimate interface.","Stated assumption A4 declares external LLM output untrusted, yet no encoding or content-separation element is specified between DF10 and the DF12 rendering; the architecture's containment rests on the model reaching no database, but its output is displayed to the user, so an advisory-only component still provides a path to session compromise. OWASP LLM05 applies.","Final audit: retained. Primary STRIDE is Tampering: attacker-influenced content enters the display path unmodified; the elevation of privilege and session compromise are consequences and are noted as secondary. Severity Critical stands because the chain terminates in full account takeover. This entry is the practical realisation of unintended authority for a guidance-only assistant: generated content becomes executable authority in the authenticated client context, which is how the excessive-authority concern manifests in this architecture.",Critical,Medium,Yes,High,YES
S1-RT-034,Delivery of attacker-authored instructions through the assistant,Tampering,LLM-Specific,P4 AI Chatbot Component; EE2 External LLM Provider,"DF10, DF11, DF12",TB2; TB1,Generated responses; user credentials; user security behaviour,"Through poisoned context as described in S1-RT-023, direct injection as in S1-RT-022, or provider substitution as in S1-RT-036, the returned answer instructs the user to act against their own interest, and the trusted DF12 delivery channel converts the text into an effective attack.","A poisoned knowledge-base article causes the assistant to tell users to confirm their identity at an attacker-controlled destination; users comply at a rate substantially higher than external phishing, because the instruction arrives inside the trusted application interface in direct response to their own question.","Disclosure of credentials or authentication information to the attacker, delivered through the application's own trusted channel.","The harmful content enters across TB2 on DF10 and reaches the user across TB1 on DF12; the delivery channel's organisational authority is what converts generated text into an effective attack, and no output-side content policy or destination allow-listing element is specified at P4.","Final audit: retained. Primary STRIDE is Tampering: attacker-chosen content is substituted for legitimate guidance in the delivery path; the authority-lending property of the DF12 channel, a spoofing-like characteristic, is noted as secondary. Retained separately from S1-RT-032 because the content is intentional and attacker-chosen rather than accidental, which changes the required control from model accuracy to output-side policy enforcement; the two are independently identifiable and matchable, so rule 3 does not merge them. The user-trust amplification folded into this entry in the first pass remains.",High,Medium,Yes,High,YES
S1-RT-036,Compromise or substitution of the external model service,Spoofing,LLM-Specific,EE2 External LLM Provider; P5 LLM Integration Service,"DF9, DF10",TB2,User prompts; LLM context; generated responses,"The DF9/DF10 exchange depends on the identity and integrity of the responder beyond TB2, and no mechanism verifying that the responder is the intended external service is specified by the architecture; if EE2 is substituted or compromised, prompts are harvested and responses are attacker-controlled.","The communication that P5 sends on DF9 is answered by an attacker-controlled replacement of the intended external service, the substitution path lying outside the drawn architecture; every prompt is harvested, realising the S1-RT-024 exposure actively, and every DF10 response is attacker-authored, weaponising S1-RT-033 and S1-RT-034 for all users. An unannounced provider-side model or behaviour change has the same effect without any application modification.","Interception of every prompt crossing TB2 together with control of every response returned on DF10, converting the assistant into an attacker-controlled channel for all users.","P5 is the only element that performs the TB2 crossing, so any verification of the external service's identity and integrity must concentrate at that single process, and no such verification is specified; EE2 is not merely a service the application calls but the source of content the application redistributes to users across TB1 on DF12. MITRE ATLAS frames the substitution angle as ML supply chain compromise.","Final audit: retained with a trust-boundary-level rewrite: infrastructure-specific substitution mechanisms were removed (rules 1), and the mechanism is now stated as the unspecified verification of the responder's identity beyond TB2, with the substitution path declared to lie outside the drawn architecture. Primary STRIDE is Spoofing: the trusted external entity is impersonated or substituted; control of the responses is the consequence and is noted as secondary. Likelihood Low: requires a substantial external compromise, but the impact spans the whole user base, keeping severity High.",High,Low,Yes,High,YES
